tweet_id,TWEETTEXT,dateTime,author_id,retweet_count,like_count,quote_count,reply_count,UserLocation,Tweet_Place,URLs,mentions,hashtags,sentiment
tweet_id,tweet_text,dateTime,author_id,retweet_count,like_count,quote_count,reply_count,UserLocation,Tweet_Place,URLs,mentions,hashtags,sentiment
tweet_id,tweet_text,dateTime,author_id,retweet_count,like_count,quote_count,reply_count,UserLocation,Tweet_Place,URLs,mentions,hashtags,sentiment
1487182706089803776,Lica Pod at Lancaster University ,2022-01-28 21:56:02+00:00,1479852234619994117,0,0,0,0,,"Galgate, England",['https://t.co/zbnwn7jaIE'],[],[],neutral
1487380695215390720,Just posted a photo   Lancaster University ,2022-01-29 11:02:46+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/oHuPTwR3Jm'],[],[],neutral
1488521215622868992,Just posted a photo   Lancaster University ,2022-02-01 14:34:47+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/Kp8y4Bb231'],[],[],neutral
1488437010796662786,Happy Lunar New Year from Lancaster University Careers Service lunarnewyear happylunarnewyear lancasteruniversity lancscareers   Lancaster University ,2022-02-01 09:00:11+00:00,63722383,0,1,0,0,"Lancaster University, UK","North West, England",['https://t.co/hrEDsFhut7'],[],"['lunarnewyear', 'happylunarnewyear', 'lancasteruniversity', 'lancscareers']",positive
1488871030215090187,Just posted a photo   Lancaster University ,2022-02-02 13:44:50+00:00,63722383,1,1,0,0,"Lancaster University, UK","North West, England",['https://t.co/LNsOi8hB52'],[],[],neutral
1489285807236075528,For the last home game of the regular season  we take on the Edge Hill Vikings  2PM Kickoff on the Rugby League Pitch 🏈  See you there    Lancaster University ,2022-02-03 17:13:00+00:00,148525974,0,0,0,0,"Lancaster, England","North West, England",['https://t.co/SHmVcxJR9B'],[],[],negative
1489244581707329538,Just posted a photo   Lancaster University ,2022-02-03 14:29:11+00:00,63722383,0,0,1,0,"Lancaster University, UK","North West, England",['https://t.co/hj6F9RtaFD'],[],[],neutral
1489601045458079744,Just posted a photo   Lancaster University ,2022-02-04 14:05:39+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/TviYamx4Zc'],[],[],neutral
1491062123618877444,Just posted a photo   Lancaster University ,2022-02-08 14:51:27+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/Bmdy7PvPAd'],[],[],neutral
1491416056342069249,Just posted a photo   Lancaster University ,2022-02-09 14:17:51+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/tjSj3ppgtk'],[],[],neutral
1491408727047561217,Just posted a photo   Lancaster University ,2022-02-09 13:48:44+00:00,148525974,0,0,0,0,"Lancaster, England","North West, England",['https://t.co/k9tbAcmJxm'],[],[],neutral
1491813984709840899,Just posted a photo   Lancaster University ,2022-02-10 16:39:05+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/gd3jD1tq9x'],[],[],neutral
1492164470071861250,Just posted a photo   Lancaster University ,2022-02-11 15:51:47+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/6nx3Q9I0qO'],[],[],neutral
1492069873840758784,Just posted a photo   Lancaster University ,2022-02-11 09:35:53+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/UgyX0YXYzo'],[],[],neutral
1492465319440490499,Just posted a photo   Lancaster University ,2022-02-12 11:47:15+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/seWhI5VeGP'],[],[],neutral
1492836038032510978,Just posted a photo   Lancaster University ,2022-02-13 12:20:21+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/aPweHm5iEu'],[],[],neutral
1493584935025881088,Just posted a photo   Lancaster University ,2022-02-15 13:56:12+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/aGY5Q2NDWD'],[],[],neutral
1493974178596364291,Just posted a photo   Lancaster University ,2022-02-16 15:42:55+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/JsZ4KGcaPs'],[],[],neutral
1494371135185686529,I’ve had my fourth coronavirus jab at Lancaster University  I’m hoping it will finally fill me with enough nanoparticles to enable time travel I fancy a long weekend in 1590 or maybe 1984 for the music and to see a few bands I missed  Maybe play some football  ,2022-02-17 18:00:17+00:00,19453607,7,62,0,1,"Lancaster, UK","Lancaster, England",['https://t.co/4qt2QfzXIB'],[],[],negative
1494325527938695171,Just posted a photo   Lancaster University ,2022-02-17 14:59:03+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/byYOrCROEF'],[],[],neutral
1494802112080977920,THREAD  A short story for LGBTHM22 Back in the summer of ‘79 I came out for the first time to a school mate  We were 18 and had just left school  I was waiting for my results and hoping to go to Lancaster University   1,2022-02-18 22:32:50+00:00,147128542,8,51,4,6,Edinburgh | Pittenweem ,"Edinburgh, Scotland",[],[],['LGBTHM22'],positive
1494714600755019777,Just posted a photo   Lancaster University ,2022-02-18 16:45:05+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/kX9jPPtrjU'],[],[],neutral
1496080928707420163,Just posted a photo   Lancaster University ,2022-02-22 11:14:23+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/LuUH1sLb50'],[],[],neutral
1496067090402496512,The Green Party supports Lancaster University UCU union members  who on Feb 20 21 28 and 1 2 March are striking in a dispute over pensions  workloads  casualisation  pay and pay equality  See ,2022-02-22 10:19:24+00:00,123369322,6,13,0,1,"North Lancashire, England, UK","Lancaster, England",['https://t.co/IRDEbJYjs9'],[],[],positive
1496502953238274052,Just posted a photo   Lancaster University ,2022-02-23 15:11:22+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/6kfM4TEkm5'],[],[],neutral
1496935075186937866,Y10 Girls enjoyed an afternoon at Lancaster University for the thisgirlcanglow event run by Lancashire Youth Games organisers  Glow in the dark boogiesize followed by dogdeball  Lots of neon face paint  glow sticks and high vis vests    ,2022-02-24 19:48:28+00:00,1447177676,4,17,0,0,,"South Shore, England",['https://t.co/RhOGbfbQN0'],"['lythamhigh', 'WyreandFyldeSGO']",['thisgirlcanglow'],positive
1496855869560172545,Just posted a photo   Lancaster University ,2022-02-24 14:33:44+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/Yk3uhfGQ2X'],[],[],neutral
1497250919364259842,Just posted a photo   Lancaster University ,2022-02-25 16:43:31+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/xGp6JUeL0D'],[],[],neutral
1498729792643948547, spanner13  I remeber reading a paper that used extreme value analysis  Gumbel distributions  to determine the likelihood that athletes had been doping  Was someone out of Lancaster University  I think  There are upper limits of natural physical performance ,2022-03-01 18:40:02+00:00,3050774834,0,0,0,0,"Bedford, England","Stagsden, England",[],"['anna_spanner13', 'RevRichardColes']",[],negative
1498653560850063364,Just posted a photo   Lancaster University ,2022-03-01 13:37:07+00:00,63722383,0,1,0,0,"Lancaster University, UK","North West, England",['https://t.co/K9PKHfVKmo'],[],[],neutral
1499036206390120449,Just posted a photo   Lancaster University ,2022-03-02 14:57:37+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/Hc6qeQCEks'],[],[],neutral
1499395013125488641,Just posted a photo   Lancaster University ,2022-03-03 14:43:23+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/Y8tNOcjedE'],[],[],neutral
1499774708337758211,Day one of the what University event in Birmingham ✅ it has been great chatting with so many people about studying at Lancaster  with many people interested in Science 🧪 come and say hi if you’re attending tomorrow  ,2022-03-04 15:52:09+00:00,908821482,0,5,0,0,"Lancaster, England","Birmingham, England",['https://t.co/JrUMk4IUdj'],[],[],positive
1499741200361922561,Just posted a photo   Lancaster University ,2022-03-04 13:39:00+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/aGxEJpswLK'],[],[],neutral
1500042913308450817,One of our directors  McAllister spoke at the Lancaster University School of Architecture Tea talks yesterday The talks discussed Architecture and ClimateEmergency Archihive Architect Lecturer archistudent archilovers ribanorthwest archdaily TEATalk ,2022-03-05 09:37:54+00:00,1423911103680163844,1,1,0,0,"Lancaster, England","Halton, England",['https://t.co/Z5Zt6U9lcn'],"['Si_McAllister', 'LancsArc']","['Architecture', 'ClimateEmergency', 'Archihive', 'Architect', 'Lecturer', 'archistudent', 'archilovers', 'ribanorthwest', 'archdaily', 'TEATalk']",neutral
1501552382773239819,Just posted a photo   Lancaster University ,2022-03-09 13:36:00+00:00,63722383,0,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/SQRPnBQb4z'],[],[],neutral
1501478348144488449,Super excited to get started on the interior design project for Lancaster University Chaplaincy  One of the most beautiful buildings I’ve had the honour of designing and I look forward to seeing the results  ⭐️ interiordesign commercialinteriors ,2022-03-09 08:41:48+00:00,46144762,1,3,0,2,"North West, England","Lancaster, England",['https://t.co/08AAHQOelM'],[],"['interiordesign', 'commercialinteriors']",positive
1501916419516252164,Just posted a photo   Lancaster University ,2022-03-10 13:42:33+00:00,63722383,3,0,0,0,"Lancaster University, UK","North West, England",['https://t.co/HTETouwb8z'],[],[],neutral
1501884402267209729, Thanyou for the follow  I ve just read your bio and see you are studying law  My son is in his second year studying law at Lancaster University 😊,2022-03-10 11:35:19+00:00,1693694041,0,0,0,0,Mars,"Luton, England",[],['lega1lybrunette'],[],neutral
