"year"|"congress"|"title"|"abstract"|"link"|"tags"
"2004"|"21C3"|"A Fat Girl's Intimate Perspective on hackz Culture and Spaces"|"A Fat Girl's Intimate Perspective on hackz Culture and Spaces How to Survive a Cock Fight; without a Cock b9punk Despite her ge nder handicap; b9punk has managed to chill out in the American hackz sce nes and retain her self-respect. Her contemporaries think that's a pretty big accomplishment and would like her to talk to you about her (pending) p atented formula for what she crudely calls ""putting up with the bullpucky\ ; and getting something out of the hackz scene besides sex. CLASS:PUBLICSTATUS:CONFIRMEDCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/140.html"|""
"2004"|"21C3"|"A/V Showcase: Jon Baxter"|"A/V Showcase: Jon Baxter Jon Baxter VJ performance by Ne w Zealand VJ Jon Baxter. CLASS:PUBLICSTATUS:CONFIRMED xternz@mac.comCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/292.html"|""
"2004"|"21C3"|"Amateurfunk - ein Hobby mit hackzvalue!?"|"Amateurfunk - ein Hobby mit hackzvalue!? Eine kurze Einfßhrun g mit Beleuchtung chaosrelevanter Aspekte Marc Schneider; Thomas Rßck er Der Amateurfunk hat eine lange Tradition im CCC. Wir werden interess ante Gebiete aus dem breiten Themenspektrum des Afu betrachten und aktuell e Forschungsfelder vorstellen. Fehlen dßrfen natßrlich nicht diverse Hac ks im und um den Amateurfunk (Mobiltelefonie; drahtlose Datenßbertragung ; etc.).Weiterhin werden wir die Aktivitäten der IG Chaoswelle / DARC OV D23 vorstellen. CLASS:PUBLICSTATUS:CONFIRMED :macke_21c3@macke.org d:nomailCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/207.html"|""
"2004"|"21C3"|"Anonymous communications"|"Anonymous communications George Danezis We will present the state of the art in deployed anonymous communication systems; and in particular Mixminion; for anonymous email; and Tor; for anonymous web b rowsing. We will focus on the concrete future challenges to deploy and str engthen theses systems. CLASS:PUBLICSTATUS:CONFIRMED :gd216@cl.cam.ac.ukCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/100.html"|""
"2004"|"21C3"|"Anti-Honeypot Technology"|"Anti-Honeypot Technology Thorsten Holz Current Honeypot- based tools have a huge disadvantage: attackzers can detect honeypots with simple techniques and are to some extent also able to circumvent and disab le the logging mechanisms. On the basis of some examples; we will show me thods for attackzers to play with honeypots. CLASS:PUBLICSTATUS:CONFIRMED :nomailCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/109.html"|""
"2004"|"21C3"|"Apache securityz"|"Apache securityz Improving the securityz of your web server by breaking into it Sebastian Wolfgarten While apparently being quite s ecure out of the box the Apache web server is still a well-liked target for hackzs. This talk will help system administrators to improve the sec urity of their site and will also cover techniques on attackzing a web ser ver. CLASS:PUBLICSTATUS:CONFIRMED invalid:nomailCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/126.html"|""
"2004"|"21C3"|"Apple Motion on the Workbench"|"Apple Motion on the Workbench Anfängerz and Working with A pple Motion fALk Meant as a short Anfängerz into Apple Motion as a very fast tool for preparing VJ loops. This will be a collaborative expl oration of the program for everyone to have a look at this marvelous tool. CLASS:PUBLICSTATUS:CONFIRMEDCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/259.html"|""
"2004"|"21C3"|"Applied Data Mining"|"Applied Data Mining Ingo Lßtkebohle; Julia Lßning Han ds-on Anfängerz to the basics of getting interesting results from borin g data; using freely available tools and real-world data. No mathematics necessary. BYOL - Bring Your Own Laptop! CLASS:PUBLICSTATUS:CONFIRMED lid:nomail :nomailCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/110.html"|""
"2004"|"21C3"|"Aspects of Elliptic Curve Cryptography"|"Aspects of Elliptic Curve Cryptography Florian HeĂ The talk will give an Anfängerz to elliptic curve cryptography and explain some recent developments regarding attackz on the discrete logarithm probl em on elliptic curves. In practice; elliptic curve cryptography can for e xample be employed in the TLS/SSL and IPsec protocols. It is well suited f or use in constraint devices such as smart cards. CLASS:PUBLICSTATUS:CONFIRMED ess@math.tu-berlin.deCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/78.html"|""
"2004"|"21C3"|"Automated hackz via Google"|"Automated hackz via Google Daniel Bartlett A look at m ethods of locating securityz sites via google and securityzing them with no user interaction and how to prevent your code being securityz. test CLASS:PUBLICSTATUS:CONFIRMED o:danbuk@gmail.comCATEGORY:Lecture"|"http://www.ccc.de/congress/2004/fahrplan/event/113.html"|""
