tweet_id,tweet_text,dateTime,author_id,retweet_count,like_count,quote_count,reply_count,UserLocation,Tweet_Place,URLs,mentions,hashtags,sentiment
1520486352713920520,عيد الفطر المبارك عيد الفطر ,2022-04-30 19:32:50+00:00,1281657943646253056,0,0,0,0,"Doha, Qatar","الريان, دولة قطر",['https://t.co/Q6CvKZGtl8'],[],[],neutral
1520449121882193921,مساء الضيف الذي  يشد الرحال والقلوب التي لم ترتوي من عذب عطاياه  اللهم إجعلنا مقبولين بكرمك مكفولين بذكرك مشمولين بعفوك و فائزين برضاك ومن العتقاء من نارك وأجعلنا اللهم من ورثة جنتك يارب العالمين ،،،،مساء الرحمة والمغفرة والعتق من النار  عيد الفطر,2022-04-30 17:04:53+00:00,2451892208,0,2,0,0,Doha/Beirut/London🇶🇦🇱🇧🇬🇧,"الوكرة, دولة قطر",[],[],[],neutral
1520436959809871872,كل عام وانت عيدي ومن غيري بعيد وكل عام يمر   ياجعلني ماودعـكعيد الفطر,2022-04-30 16:16:34+00:00,1513746937949954049,0,0,0,0,🇶🇦,"الريان, دولة قطر",[],[],[],neutral
1520427936305848323,عاجل غدًا المكمل لشهر رمضان في السعودية ، بعد تعذر رؤية هلال شوال ، وعيد الفطر يوم الاثنين  عيد الفطر رمضان ,2022-04-30 15:40:42+00:00,708535212,0,1,0,0,"Doha, Qatar","الريان, دولة قطر",['https://t.co/LGqIZ1Tcsj'],[],[],neutral
1520412512176549893,اللحظه التي تكتمل فرحتنا بصيام رمضان وافطار عيد الفطر ♥️اعاده الله علينا وعليكم بالخير واليمن والبركات 🌹 ,2022-04-30 14:39:25+00:00,1355825652,0,0,0,0,"Live in Doha, Qatar","الريان, دولة قطر",['https://t.co/2bjh77UtlI'],[],[],neutral
1520367184551239681,ضعنا بالطوشه …عيد الفطر الاحد  او الإثنين ؟رمضان كريم وسريع ,2022-04-30 11:39:18+00:00,3312763951,0,0,0,0,,"الدوحة, دولة قطر",['https://t.co/cDvzf9Pubm'],[],[],neutral
1520337812939235328,اسعار خاصة 🎁 بمناسبة عيد الفطر  2022المبخر الامنللطلب والاستفسار  🇶🇦 0097433000595متاح توصيل لدول خليج ,2022-04-30 09:42:35+00:00,246248214,179,255,1,0,Qatar,"الريان, دولة قطر",['https://t.co/CZDmPuxCVD'],[],[],neutral
1520281070939348992,عيدكم مبارك  من اعملنا بمنطقة الوسيل قطر  للمعاينة و الاستفسار   70729515 974  العيد الاحد عيد الفطر 2022 قطر2022 ,2022-04-30 05:57:07+00:00,1114877106679439360,0,1,0,0,"Doha, Qatar","الدوحة, دولة قطر",['https://t.co/ZGmDO4RALo'],[],[],neutral
1520906780670406657,منتظرينكم اول ايام عيد الفطر في CASH CLUB مع DJ KARIM  amp  DJ ZEE بفندق جراند ريجل الدوحه We are waiting you on the first day of Eid El Fitr 🤩For reservation   974 3034 6112party restaurant cashclub nightclub wildparties music dj grandregalhotel enjoy liveparties ,2022-05-01 23:23:28+00:00,1434063152212238337,0,0,0,1,Grand Regal Hotel Doha Qatar,"الدوحة, دولة قطر",['https://t.co/gcQi8RTexw'],[],"['party', 'restaurant', 'cashclub', 'nightclub', 'wildparties', 'music', 'dj', 'grandregalhotel', 'enjoy', 'liveparties']",positive
1520906222727225344,منتظرينكم اول ايام عيد الفطر في كاش كلوب الدوحه مع DJ KARIM  amp  DJ ZEEWe are waiting you on the first day of Eid El Fitr 🤩For reservation   974 3034 6112party restaurant cashclub nightclub wildparties music dj grandregalhotel enjoy liveparties dance BestTime ,2022-05-01 23:21:15+00:00,1434063152212238337,1,0,0,0,Grand Regal Hotel Doha Qatar,"الدوحة, دولة قطر",['https://t.co/i0iiesrMmj'],[],"['party', 'restaurant', 'cashclub', 'nightclub', 'wildparties', 'music', 'dj', 'grandregalhotel', 'enjoy', 'liveparties', 'dance', 'BestTime']",positive
